date,SFOE,EQ,Estimate
2008-01-01,37.4,35,False
2008-02-01,38.4,35.92,True
2008-03-01,39.4,36.83,True
2008-04-01,40.4,37.75,True
2008-05-01,41.4,38.67,True
2008-06-01,42.4,39.58,True
2008-07-01,43.4,40.5,True
2008-08-01,44.4,41.42,True
2008-09-01,45.4,42.33,True
2008-10-01,46.4,43.25,True
2008-11-01,47.4,44.17,True
2008-12-01,48.4,45.08,True
2009-01-01,49.4,46,False
2009-02-01,51.9,48.58,True
2009-03-01,54.4,51.17,True
2009-04-01,56.9,53.75,True
2009-05-01,59.4,56.33,True
2009-06-01,61.9,58.92,True
2009-07-01,64.4,61.5,True
2009-08-01,67,64.08,True
2009-09-01,69.5,66.67,True
2009-10-01,72,69.25,True
2009-11-01,74.5,71.83,True
2009-12-01,77,74.42,True
2010-01-01,79.5,77,False
2010-02-01,83.3,80.75,True
2010-03-01,87.2,84.5,True
2010-04-01,91,88.25,True
2010-05-01,94.8,92,True
2010-06-01,98.6,95.75,True
2010-07-01,102.4,99.5,True
2010-08-01,106.3,103.25,True
2010-09-01,110.1,107,True
2010-10-01,113.9,110.75,True
2010-11-01,117.8,114.5,True
2010-12-01,121.6,118.25,True
2011-01-01,125.4,122,False
2011-02-01,133.5,130.17,True
2011-03-01,141.7,138.33,True
2011-04-01,149.8,146.5,True
2011-05-01,157.9,154.67,True
2011-06-01,166,162.83,True
2011-07-01,174.2,171,True
2011-08-01,182.3,179.17,True
2011-09-01,190.4,187.33,True
2011-10-01,198.5,195.5,True
2011-11-01,206.7,203.67,True
2011-12-01,214.8,211.83,True
2012-01-01,222.9,220,False
2012-02-01,240.7,237.75,True
2012-03-01,258.5,255.5,True
2012-04-01,276.3,273.25,True
2012-05-01,294.1,291,True
2012-06-01,311.9,308.75,True
2012-07-01,329.7,326.5,True
2012-08-01,347.5,344.25,True
2012-09-01,365.3,362,True
2012-10-01,383.1,379.75,True
2012-11-01,400.9,397.5,True
2012-12-01,418.7,415.25,True
2013-01-01,436.5,433,False
2013-02-01,463.1,459.58,True
2013-03-01,489.7,486.17,True
2013-04-01,516.3,512.75,True
2013-05-01,542.9,539.33,True
2013-06-01,569.5,565.92,True
2013-07-01,596,592.5,True
2013-08-01,622.6,619.08,True
2013-09-01,649.2,645.67,True
2013-10-01,675.8,672.25,True
2013-11-01,702.4,698.83,True
2013-12-01,729,725.42,True
2014-01-01,755.6,752,False
2014-02-01,781,777.42,True
2014-03-01,806.4,802.83,True
2014-04-01,831.9,828.25,True
2014-05-01,857.3,853.67,True
2014-06-01,882.7,879.08,True
2014-07-01,908.1,904.5,True
2014-08-01,933.5,929.92,True
2014-09-01,958.9,955.33,True
2014-10-01,984.4,980.75,True
2014-11-01,1009.8,1006.17,True
2014-12-01,1035.2,1031.58,True
2015-01-01,1060.6,1057,False
2015-02-01,1088.4,1084.75,True
2015-03-01,1116.2,1112.5,True
2015-04-01,1144,1140.25,True
2015-05-01,1171.7,1168,True
2015-06-01,1199.5,1195.75,True
2015-07-01,1227.3,1223.5,True
2015-08-01,1255.1,1251.25,True
2015-09-01,1282.9,1279,True
2015-10-01,1310.7,1306.75,True
2015-11-01,1338.4,1334.5,True
2015-12-01,1366.2,1362.25,True
2016-01-01,1394,1390,False
2016-02-01,1416.5,1412.5,True
2016-03-01,1439,1435,True
2016-04-01,1461.6,1457.5,True
2016-05-01,1484.1,1480,True
2016-06-01,1506.6,1502.5,True
2016-07-01,1529.1,1525,True
2016-08-01,1551.6,1547.5,True
2016-09-01,1574.1,1570,True
2016-10-01,1596.7,1592.5,True
2016-11-01,1619.2,1615,True
2016-12-01,1641.7,1637.5,True
2017-01-01,1664.2,1660,False
2017-02-01,1684.4,1680.17,True
2017-03-01,1704.6,1700.33,True
2017-04-01,1724.8,1720.5,True
2017-05-01,1744.9,1740.67,True
2017-06-01,1765.1,1760.83,True
2017-07-01,1785.3,1781,True
2017-08-01,1805.5,1801.17,True
2017-09-01,1825.7,1821.33,True
2017-10-01,1845.8,1841.5,True
2017-11-01,1866,1861.67,True
2017-12-01,1886.2,1881.83,True
2018-01-01,1906.4,1902,False
2018-02-01,1928.6,1924.17,True
2018-03-01,1950.9,1946.33,True
2018-04-01,1973.1,1968.5,True
2018-05-01,1995.3,1990.67,True
2018-06-01,2017.6,2012.83,True
2018-07-01,2039.8,2035,True
2018-08-01,2062,2057.17,True
2018-09-01,2084.3,2079.33,True
2018-10-01,2106.5,2101.5,True
2018-11-01,2128.7,2123.67,True
2018-12-01,2151,2145.83,True
2019-01-01,2173.2,2168,False
2019-02-01,2200.3,2195,True
2019-03-01,2227.3,2222,True
2019-04-01,2254.4,2249,True
2019-05-01,2281.5,2276,True
2019-06-01,2308.6,2303,True
2019-07-01,2335.7,2330,True
2019-08-01,2362.7,2357,True
2019-09-01,2389.8,2384,True
2019-10-01,2416.9,2411,True
2019-11-01,2443.9,2438,True
2019-12-01,2471,2465,True
2020-01-01,2498.1,2492,False
2020-02-01,2537.7,2531.58,True
2020-03-01,2577.3,2571.17,True
2020-04-01,2616.9,2610.75,True
2020-05-01,2656.5,2650.33,True
2020-06-01,2696.1,2689.92,True
2020-07-01,2735.8,2729.5,True
2020-08-01,2775.4,2769.08,True
2020-09-01,2815,2808.67,True
2020-10-01,2854.6,2848.25,True
2020-11-01,2894.2,2887.83,True
2020-12-01,2933.8,2927.42,True
2021-01-01,2973.4,2967,False
2021-02-01,3030.2,3023.83,True
2021-03-01,3087,3080.67,True
2021-04-01,3143.8,3137.5,True
2021-05-01,3200.6,3194.33,True
2021-06-01,3257.4,3251.17,True
2021-07-01,3314.2,3308,True
2021-08-01,3371,3364.83,True
2021-09-01,3427.8,3421.67,True
2021-10-01,3484.6,3478.5,True
2021-11-01,3541.4,3535.33,True
2021-12-01,3598.2,3592.17,True
2022-01-01,3655,3649,False
2022-02-01,3745,3724,True
2022-03-01,3838,3799,True
2022-04-01,3933,3874,True
2022-05-01,4031,3949,True
2022-06-01,4130,4024,True
2022-07-01,4232,4099,True
2022-08-01,4335,4174,True
2022-09-01,4440,4249,True
2022-10-01,4547,4324,True
2022-11-01,4655,4399,True
2022-12-01,4764,4474,True
2023-01-01,4737,4549,True
2023-02-01,4859,4624,True
2023-03-01,4981,4699,True
2023-04-01,5103,4774,True
2023-05-01,5226,4849,True
2023-06-01,5349,4924,True
2023-07-01,5472,4999,True
2023-08-01,5595,5074,True
2023-09-01,5718,5149,True
2023-10-01,5842,5224,True
2023-11-01,5965,5299,True
2023-12-01,6089,5374,True
2024-01-01,6200,5449,True
2024-02-01,6325,5524,True
2024-03-01,6450,5599,True
2024-04-01,6575,5674,True
2024-05-01,6700,5749,True
2024-06-01,6825,5824,True
2024-07-01,6950,5899,True
2024-08-01,7075,5974,True
2024-09-01,7200,6049,True
2024-10-01,7325,6124,True
2024-11-01,7450,6199,True
2024-12-01,7575,6274,True
2025-01-01,7700,NA,True
